page,id_deputy,idLegislature,name,party,uf
1,2291,34,AARÃO REIS,NA,PA
1,2291,28,AARÃO REIS,NA,PA
1,2291,35,AARÃO REIS,NA,PA
1,130699,39,AARÃO STEINBRUCH,PTB,RJ
1,130699,41,AARÃO STEINBRUCH,MTR,RJ
1,130699,40,AARÃO STEINBRUCH,PTB,RJ
1,1516,48,ABDALLA JALLAD,PMDB,MS
1,131826,47,ABDIAS NASCIMENTO,PDT,RJ
1,2176,28,ABDON BATISTA,NA,SC
1,2176,26,ABDON BATISTA,NA,SC
1,2176,29,ABDON BATISTA,NA,SC
1,2176,31,ABDON BATISTA,NA,SC
1,131497,45,ABDON GONCALVES,MDB*,RJ
1,1569,26,ABDON MILANEZ,NA,PB
1,131628,44,ABEL ÁVILA,ARENA,SC
1,131628,46,ABEL AVILA DOS SANTOS,PDS,SC
1,131628,45,ABEL AVILA DOS SANTOS,ARENA,SC
1,2481,36,ABEL CHERMONT,PL*,PA
1,2481,31,ABEL CHERMONT,PRF,PA
1,178957,55,ABEL MESQUITA JR.,DEM,RR
1,131146,42,ABEL RAFAEL,ARENA,MG
1,131146,41,ABEL RAFAEL,PRP,MG
1,131146,43,ABEL RAFAEL,ARENA,MG
1,130384,39,ABELARDO ANDRÉA,PTB,BA
1,130383,39,ABELARDO CALAFANGE,PSD,RN
1,141463,53,ABELARDO CAMARINHA,PSB,SP
1,141463,54,ABELARDO CAMARINHA,PSB,SP
1,130880,42,ABELARDO JUREMA,PSD,PB
1,130880,41,ABELARDO JUREMA,PSD,PB
1,73764,51,ABELARDO LUPION,PFL,PR
1,73764,49,ABELARDO LUPION,PFL,PR
1,73764,53,ABELARDO LUPION,DEM,PR
1,73764,54,ABELARDO LUPION,DEM,PR
1,73764,50,ABELARDO LUPION,PFL,PR
1,73764,52,ABELARDO LUPION,PFL,PR
1,130241,34,ABELARDO LUZ,PR,SC
1,130241,35,ABELARDO LUZ,PR,SC
1,130241,37,ABELARDO LUZ,PR,SC
1,130385,39,ABELARDO MATA,PTB,RJ
1,130385,38,ABELARDO MATA,PTB,RJ
1,2165,26,ABELARDO TEIXEIRA,NA,RJ
1,130505,40,ABGUAR BASTOS,PTB,SP
1,130505,37,ABGUAR BASTOS,PL*,PA
1,139123,48,ABIGAIL FEITOSA,PSB,BA
1,130286,38,ABÍLIO FERNANDES,PCB*,RS
1,204554,56,ABÍLIO SANTANA,PL,BA
1,2597,35,ABNER MOURÃO,NA,ES
1,2597,34,ABNER MOURÃO,NA,ES
1,204521,56,ABOU ANNI,PSL,SP
1,130881,42,ABRAHÃO MOURA,MDB*,AL
1,130881,41,ABRAHÃO MOURA,PTB,AL
1,131147,42,ABRAHÃO SABBÁ,ARENA,AM
1,131147,43,ABRAHÃO SABBÁ,ARENA,AM
1,130244,37,ABREU SODRÉ,NA,SP
1,130244,36,ABREU SODRÉ,NA,SP
1,2662,35,ACÁCIO DE  FIGUEIREDO,NA,PB
1,204379,56,ACÁCIO FAVACHO,PROS,AP
1,131711,53,ACÁCIO JÚNIOR,PSB,CE
1,131629,46,ACACIO PEREIRA,PMDB,SC
1,131232,42,ACCIOLY FILHO,ARENA,PR
1,131232,43,ACCIOLY FILHO,ARENA,PR
1,131232,41,ACCIOLY FILHO,PDC,PR
1,161907,54,ACELINO POPÓ,PRB,BA
1,143254,53,ACÉLIO CASAGRANDE,PMDB,SC
1,130390,39,ACHILES MINCARONE,PTB,RS
1,1557,41,ACHILLES CRUZ,PSP,MA
1,4649,37,ACILINO DE LEÃO,PL*,PA
1,130287,38,ACIR GUIMARÃES,PSD,PR
1,139124,48,ACIVAL GOMES,PMDB,SE
1,130288,37,ACÚRCIO TORRES,PSD,RJ
1,130288,38,ACÚRCIO TORRES,PSD,RJ
1,130288,36,ACÚRCIO TORRES,PSD,RJ
1,130883,39,ADAHIL BARRETO,UDN,CE
1,130883,40,ADAHIL CAVALCANTI,UDN,CE
1,130883,41,ADAHIL CAVALCANTI,UDN,CE
1,130883,42,ADAHIL CAVALCANTI,PTB,CE
1,130885,42,ADAHURY FERNANDES,MDB*,RJ
1,178864,55,ADAIL CARNEIRO,PODE,CE
1,131827,47,ADAIL VETTORAZZO,PDS,SP
1,130882,42,ADAIR  MURTA,UDN,MG
1,131630,45,ADALBERTO CAMARGO,MDB*,SP
1,131630,43,ADALBERTO CAMARGO,MDB*,SP
1,131630,44,ADALBERTO CAMARGO,MDB*,SP
1,131630,46,ADALBERTO CAMARGO,PDS,SP
1,178914,55,ADALBERTO CAVALCANTI,AVANTE,PE
1,130242,37,ADALBERTO CORREIA,UDB,RS
1,130242,35,ADALBERTO CORREIA,PL*,RS
1,130242,36,ADALBERTO CORREIA,PRL,RS
1,3650,26,ADALBERTO FERRAZ,NA,MG
1,3650,27,ADALBERTO FERRAZ,NA,MG
1,3650,25,ADALBERTO FERRAZ,NA,MG
1,1946,25,ADALBERTO GUIMARÃES,NA,BA
1,1946,26,ADALBERTO GUIMARÃES,NA,BA
1,1946,24,ADALBERTO GUIMARÃES,NA,BA
1,131388,44,ADALBERTO NADER,MDB*,ES
1,4441,35,ADALBERTO PEDREIRA,NA,AM
1,130701,41,ADALBERTO VALLE,PTB,AM
1,73886,53,ADÃO PRETTO,PT,RS
1,73886,51,ADÃO PRETTO,PT,RS
1,73886,49,ADÃO PRETTO,PT,RS
2,73886,52,ADÃO PRETTO,PT,RS
2,73886,50,ADÃO PRETTO,PT,RS
2,131149,43,ADAUCTO CARDOSO,ARENA,GB
2,131149,41,ADAUCTO CARDOSO,UDN,GB
2,131149,42,ADAUCTO CARDOSO,ARENA,GB
2,131149,40,ADAUCTO CARDOSO,UDN,DF
2,131631,46,ADAUTO BEZERRA,PDS,CE
2,74328,50,ADAUTO PEREIRA,PFL,PB
2,74328,48,ADAUTO PEREIRA,PFL,PB
2,74328,47,ADAUTO PEREIRA,PDS,PB
2,74328,52,ADAUTO PEREIRA,PFL,PB
2,74328,49,ADAUTO PEREIRA,PFL,PB
2,74328,51,ADAUTO PEREIRA,PFL,PB
2,73823,50,ADELAIDE NERI,PMDB,AC
2,73823,49,ADELAIDE NERI,PMDB,AC
2,4651,36,ADELIO MACIEL,PP**,MG
2,4651,37,ADÉLIO MACIEL,PP**,MG
2,3067,40,ADELMAR CARVALHO,PSD,PE
2,3067,43,ADELMAR CARVALHO,MDB*,PE
2,3067,41,ADELMAR CARVALHO,PSD,PE
2,3067,42,ADELMAR CARVALHO,MDB*,PE
2,4856,37,ADELMAR ROCHA,UDN,PI
2,4856,38,ADELMAR ROCHA,UDN,PI
2,178890,55,ADELMO CARNEIRO LEÃO,PT,MG
2,74386,52,ADELOR VIEIRA,PMDB,SC
2,178968,55,ADELSON BARRETO,PR,SE
2,74524,50,ADELSON RIBEIRO,PSDB,SE
2,74524,51,ADELSON RIBEIRO,PSC,SE
2,74770,50,ADELSON SALVADOR,PMDB,ES
2,131632,46,ADEMAR PEREIRA,PDS,PB
2,131632,45,ADEMAR PEREIRA,ARENA,PB
2,139125,47,ADEMIR ANDRADE,PMDB,PA
2,139125,48,ADEMIR ANDRADE,PSB,PA
2,133374,54,ADEMIR CAMILO,PROS,MG
2,133374,52,ADEMIR CAMILO,PDT,MG
2,133374,53,ADEMIR CAMILO,PDT,MG
2,133374,55,ADEMIR CAMILO,MDB,MG
2,74220,50,ADEMIR CUNHA,PFL,PE
2,74645,50,ADEMIR LUCAS,PSDB,MG
2,74645,51,ADEMIR LUCAS,PSDB,MG
2,131498,45,ADERBAL JUREMA,ARENA,PE
2,131498,41,ADERBAL JUREMA,PSD,PE
2,131498,43,ADERBAL JUREMA,ARENA,PE
2,131498,44,ADERBAL JUREMA,ARENA,PE
2,131498,42,ADERBAL JUREMA,ARENA,PE
2,130506,38,ADERBAL SILVA,PSD,SC
2,130506,40,ADERBAL SILVA,PSD,SC
2,196359,55,ADÉRMIS MARINI,PSDB,SP
2,130388,39,ADERSON DUTRA,UDN,RN
2,73426,43,ADHEMAR DE BARROS FILHO,ARENA,SP
2,73426,44,ADHEMAR DE BARROS FILHO,ARENA,SP
2,73426,46,ADHEMAR DE BARROS FILHO,PDS,SP
2,73426,48,ADHEMAR DE BARROS FILHO,PRP,SP
2,73426,50,ADHEMAR DE BARROS FILHO,PPB,SP
2,73426,45,ADHEMAR DE BARROS FILHO,ARENA,SP
2,131828,47,ADHEMAR GHISI,PDS,SC
2,131828,45,ADHEMAR GHISI,ARENA,SC
2,131828,44,ADHEMAR GHISI,ARENA,SC
2,131828,46,ADHEMAR GHISI,PDS,SC
2,131828,43,ADHEMAR GHISI,ARENA,SC
2,131829,46,ADHEMAR SANTILLO,PMDB,GO
2,131829,45,ADHEMAR SANTILLO,MDB*,GO
2,131829,47,ADHEMAR SANTILLO,PMDB,GO
2,130905,42,ADIB CHAMMAS,PSP,SP
2,73957,49,ADILSON MALUF,PMDB,SP
2,178903,55,ADILTON SACHETTI,PRB,MT
2,2283,28,ADJUTO,NA,MG
2,130224,35,ADOLFO BERGAMINI,NA,DF
2,130224,34,ADOLFO BERGAMINI,NA,DF
2,130224,36,ADOLFO BERGAMINI,PE,DF
2,130224,33,ADOLFO BERGAMINI,NA,DF
2,2890,37,ADOLFO CELSO,PSD,PE
2,130702,39,ADOLFO GENTIL,PSD,CE
2,130702,41,ADOLFO GENTIL,PSD,CE
2,130702,40,ADOLFO GENTIL,PSD,CE
2,1780,27,ADOLFO GORDO,NA,SP
2,1780,25,ADOLFO GORDO,NA,SP
2,1780,29,ADOLFO GORDO,NA,SP
2,1780,28,ADOLFO GORDO,NA,SP
2,130225,33,ADOLFO KONDER,PRC,SC
2,130225,32,ADOLFO KONDER,PRC,SC
2,130225,36,ADOLFO KONDER,PRC,SC
2,74450,51,ADOLFO MARINHO,PSDB,CE
2,139126,44,ADOLFO OLIVEIRA,MDB*,RJ
2,139126,42,ADOLFO OLIVEIRA,MDB*,RJ
2,139126,48,ADOLFO OLIVEIRA,PFL,RJ
2,139126,43,ADOLFO OLIVEIRA,MDB*,RJ
2,2723,36,ADOLFO SOARES,NA,MA
2,204560,56,ADOLFO VIANA,PSDB,BA
2,131633,46,ADOLPHO FRANCO,PDS,PR
2,1780,24,ADOLPHO GORDO,NA,SP
2,160577,54,ADRIAN,PMDB,RJ
2,204528,56,ADRIANA VENTURA,NOVO,SP
2,121948,56,ADRIANO DO BALDY,PP,GO
2,131151,42,ADRIANO GONÇALVES,UDN,PA
2,131151,43,ADRIANO GONÇALVES,ARENA,PA
2,2577,35,ADRIANO GORDILHO,NA,BA
2,2577,34,ADRIANO GORDILHO,NA,BA
2,131634,45,ADRIANO VALENTE,ARENA,PR
2,131634,46,ADRIANO VALENTE,PDS,PR
3,130886,42,ADRIÃO BERNARDES,PST,SP
3,131830,47,ADROALDO CAMPOS,PDS,SE
3,131830,46,ADROALDO CAMPOS,ARENA,SE
3,130389,39,ADROALDO COSTA,PSD,RS
3,130389,36,ADROALDO COSTA,PSD,RS
3,130389,38,ADROALDO COSTA,PSD,RS
3,73996,50,ADROALDO STRECK,PSDB,RS
3,73996,48,ADROALDO STRECK,PSDB,RS
3,73996,49,ADROALDO STRECK,PSDB,RS
3,73996,51,ADROALDO STRECK,PSDB,RS
3,131152,43,ADYLIO VIANNA,MDB*,RS
3,131152,42,ADYLIO VIANNA,MDB*,RS
3,131152,40,ADYLIO VIANNA,PTB,RS
3,131152,41,ADYLIO VIANNA,PTB,RS
3,73887,50,ADYLSON MOTTA,PPB,RS
3,73887,48,ADYLSON MOTTA,PDS,RS
3,73887,49,ADYLSON MOTTA,PPR,RS
3,131831,44,AÉCIO CUNHA,ARENA,MG
3,131831,46,AÉCIO CUNHA,PDS,MG
3,131831,43,AÉCIO CUNHA,ARENA,MG
3,131831,45,AÉCIO CUNHA,ARENA,MG
3,131831,47,AÉCIO CUNHA,PFL,MG
3,131831,42,AÉCIO CUNHA,ARENA,MG
3,74244,47,AÉCIO DE BORBA,PDS,CE
3,74244,48,AÉCIO DE BORBA,PDS,CE
3,74244,49,AÉCIO DE BORBA,PPR,CE
3,74244,50,AÉCIO DE BORBA,PPB,CE
3,74646,56,AÉCIO NEVES,PSDB,MG
3,74646,51,AÉCIO NEVES,PSDB,MG
3,74646,49,AÉCIO NEVES,PSDB,MG
3,74646,50,AÉCIO NEVES,PSDB,MG
3,74646,48,AÉCIO NEVES,PSDB,MG
3,141372,55,AELTON FREITAS,PR,MG
3,141372,53,AELTON FREITAS,PR,MG
3,141372,54,AELTON FREITAS,PR,MG
3,130887,38,AFFONSO ARINOS,UDN,MG
3,2639,42,AFFONSO ARINOS FILHO,PDC,GB
3,73765,52,AFFONSO CAMARGO,PSDB,PR
3,73765,53,AFFONSO CAMARGO,PSDB,PR
3,73765,50,AFFONSO CAMARGO,PFL,PR
3,2523,32,AFFONSO CAMARGO,NA,PR
3,73765,51,AFFONSO CAMARGO,PSDB,PR
3,131153,43,AFFONSO CELSO,MDB*,RJ
3,131153,42,AFFONSO CELSO,MDB*,RJ
3,131153,41,AFFONSO CELSO,PTB,RJ
3,1988,24,AFFONSO COSTA,NA,PE
3,139127,48,AFIF DOMINGOS,PL*,SP
3,130887,39,AFONSO ARINOS,UDN,MG
3,130887,40,AFONSO ARINOS,UDN,MG
3,2436,30,AFONSO BARATA,NA,RN
3,2436,31,AFONSO BARATA,NA,RN
3,2068,27,AFONSO COSTA,NA,PE
3,2068,26,AFONSO COSTA,NA,PE
3,2068,28,AFONSO COSTA,NA,PE
3,2068,25,AFONSO COSTA,NA,PE
3,130338,38,AFONSO DE CARVALHO,PSD,AL
3,160508,55,AFONSO FLORENCE,PT,BA
3,160508,54,AFONSO FLORENCE,PT,BA
3,160508,56,AFONSO FLORENCE,PT,BA
3,136811,52,AFONSO HAMM,PP**,RS
3,136811,54,AFONSO HAMM,PP**,RS
3,136811,56,AFONSO HAMM,PP,RS
3,136811,55,AFONSO HAMM,PP,RS
3,136811,53,AFONSO HAMM,PP**,RS
3,131154,39,AFONSO MATOS,PSP,MA
3,131154,43,AFONSO MATOS,ARENA,MA
3,131154,40,AFONSO MATOS,PSP,MA
3,131154,38,AFONSO MATOS,PST,MA
3,178835,56,AFONSO MOTTA,PDT,RS
3,178835,54,AFONSO MOTTA,PDT,RS
3,178835,55,AFONSO MOTTA,PDT,RS
3,130152,32,AFONSO PENA JUNIOR,NA,MG
3,130152,33,AFONSO PENA JÚNIOR,NA,MG
3,130888,42,AFRÂNIO DE OLIVEIRA,MDB*,SP
3,130888,41,AFRÂNIO DE OLIVEIRA,UDN,SP
3,130208,34,AFRÂNIO PEIXOTO,NA,BA
3,130208,35,AFRÂNIO PEIXOTO,NA,BA
3,130208,33,AFRÂNIO PEIXOTO,NA,BA
3,130704,41,AFRÂNIO RODRIGUES,PSD,MG
3,1514,48,AFRÍSIO VIEIRA LIMA,PL*,BA
3,1514,45,AFRÍSIO VIEIRA LIMA,ARENA,BA
3,1514,47,AFRÍSIO VIEIRA LIMA,PMDB,BA
3,1514,46,AFRÍSIO VIEIRA LIMA,PDS,BA
3,131635,46,AFRO STEFANINI,ARENA,MT
3,130289,34,AGAMENON MAGALHÃES,NA,PE
3,130289,33,AGAMENON MAGALHÃES,NA,PE
3,130289,36,AGAMENON MAGALHÃES,NA,PE
3,130289,38,AGAMENON MAGALHÃES,PSD,PE
3,3502,29,AGAPITO DOS SANTOS,NA,CE
3,3502,25,AGAPITO DOS SANTOS,NA,CE
3,4155,30,AGAPITO PEREIRA,NA,AM
3,2979,38,AGAPITO SÁTIRO,UDN,CE
3,139128,48,AGASSIZ ALMEIDA,PMDB,PB
3,139128,46,AGASSIZ ALMEIDA,PP**,PB
3,4443,35,AGENOR ALVES,NA,MG
3,2649,35,AGENOR DE SENA,NA,MG
3,131832,47,AGENOR MARIA,PMDB,RN
3,131832,43,AGENOR MARIA,MDB*,RN
3,4655,37,AGENOR MONTE,PNS,PI
3,4655,36,AGENOR MONTE,PNS,PI
4,2905,37,AGENOR RABELO,NA,RJ
4,74358,51,AGNALDO MUNIZ,PPS,RO
4,74358,53,AGNALDO MUNIZ,PSC,RO
4,74358,52,AGNALDO MUNIZ,PP**,RO
4,74022,47,AGNALDO TIMÓTEO,PDT,RJ
4,74022,50,AGNALDO TIMÓTEO,PPB,RJ
4,73654,50,AGNELO QUEIROZ,PCdoB,DF
4,73654,51,AGNELO QUEIROZ,PCdoB,DF
4,73654,52,AGNELO QUEIROZ,PCdoB,DF
4,130291,37,AGOSTINHO MONTEIRO,NA,PA
4,130291,38,AGOSTINHO MONTEIRO,UDN,PA
4,130290,38,AGOSTINHO OLIVEIRA,PCB*,PE
4,131499,45,AGOSTINHO RODRIGUES,ARENA,PR
4,131499,43,AGOSTINHO RODRIGUES,ARENA,PR
4,131499,44,AGOSTINHO RODRIGUES,ARENA,PR
4,73694,49,AGOSTINHO VALENTE,PT,MG
4,3871,24,AGOSTINHO VIDAL,NA,RJ
4,130292,38,AGRÍCOLA DE BARROS,UDN,MT
4,130391,39,AGRIPA FARIA,PSD,SC
4,4445,34,AGRIPINO AZEVEDO,NA,MA
4,4445,30,AGRIPINO AZEVEDO,NA,MA
4,4445,29,AGRIPINO AZEVEDO,NA,MA
4,4445,32,AGRIPINO AZEVEDO,NA,MA
4,4445,27,AGRIPINO AZEVEDO,NA,MA
4,4445,31,AGRIPINO AZEVEDO,NA,MA
4,4445,33,AGRIPINO AZEVEDO,NA,MA
4,4445,35,AGRIPINO AZEVEDO,NA,MA
4,4445,28,AGRIPINO DE AZEVEDO,NA,MA
4,139129,48,AGRIPINO DE OLIVEIRA LIMA,PFL,SP
4,2449,30,AGUIAR DE MELO,NA,SE
4,130889,41,AGUINALDO COSTA,UDN,GB
4,130889,42,AGUINALDO COSTA,UDN,GB
4,160527,56,AGUINALDO RIBEIRO,PP,PB
4,160527,54,AGUINALDO RIBEIRO,PP**,PB
4,160527,55,AGUINALDO RIBEIRO,PP,PB
4,2342,34,AIRES DA SILVA,NA,GO
4,2342,30,AIRES DA SILVA,NA,GO
4,2342,29,AIRES DA SILVA,NA,GO
4,2342,32,AIRES DA SILVA,NA,GO
4,2342,31,AIRES DA SILVA,NA,GO
4,2342,35,AIRES DA SILVA,NA,GO
4,2342,33,AIRES DA SILVA,NA,GO
4,131833,47,AIRON RIOS,PFL,PE
4,131833,45,AIRON RIOS,ARENA,PE
4,131833,44,AIRON RIOS,ARENA,PE
4,131833,46,AIRON RIOS,PDS,PE
4,74340,51,AIRTON CASCAVEL,PPS,RR
4,139130,48,AIRTON CORDEIRO,PFL,PR
4,73888,51,AIRTON DIPP,PDT,RS
4,73888,50,AIRTON DIPP,PDT,RS
4,204495,56,AIRTON FALEIRO,PT,PA
4,131636,46,AIRTON REIS,PP**,MT
4,73457,51,AIRTON ROVEDA,PTB,PR
4,73457,52,AIRTON ROVEDA,PPS,PR
4,73457,53,AIRTON ROVEDA,PR,PR
4,133990,46,AIRTON SANDOVAL,PMDB,SP
4,133990,48,AIRTON SANDOVAL,PMDB,SP
4,133990,45,AIRTON SANDOVAL,MDB*,SP
4,133990,47,AIRTON SANDOVAL,PMDB,SP
4,133990,49,AIRTON SANDOVAL,PMDB,SP
4,131834,46,AIRTON SOARES,PT,SP
4,131834,45,AIRTON SOARES,MDB*,SP
4,131834,47,AIRTON SOARES,PMDB,SP
4,130509,40,AIRTON TELES,PSD,SE
4,130509,41,AIRTON TELES,PSD,SE
4,204549,56,AJ ALBUQUERQUE,PP,CE
4,2540,33,AJURICABA DE MENEZES,NA,AM
4,2540,34,AJURICABA DE MENEZES,NA,AM
4,173269,54,AKIRA OTSUBO,PMDB,MS
4,133939,49,ALACID NUNES,PFL,PA
4,133939,45,ALACID NUNES,ARENA,PA
4,130705,40,ALAIM MELO,PTB,BA
4,130705,41,ALAIM MELO,UDN,BA
4,139131,47,ALAIR FERREIRA,PDS,RJ
4,139131,45,ALAIR FERREIRA,ARENA,RJ
4,139131,44,ALAIR FERREIRA,ARENA,RJ
4,139131,42,ALAIR FERREIRA,PSD,RJ
4,139131,48,ALAIR FERREIRA,PFL,RJ
4,139131,46,ALAIR FERREIRA,PDS,RJ
4,139131,43,ALAIR FERREIRA,ARENA,RJ
4,178836,56,ALAN RICK,DEM,AC
4,178836,55,ALAN RICK,DEM,AC
4,133898,49,ALANO DE FREITAS,PMDB,GO
4,4446,34,ALAOR PRATA,NA,MG
4,4446,31,ALAOR PRATA,NA,MG
4,4446,29,ALAOR PRATA,NA,MG
4,4446,35,ALAOR PRATA,NA,MG
4,4446,28,ALAOR PRATA,NA,MG
4,4446,30,ALAOR PRATA,NA,MG
4,4446,32,ALAOR PRATA,NA,MG
4,139132,48,ALARICO ABIB,PMDB,PR
4,130293,38,ALARICO PACHECO,UDN,MA
4,141373,53,ALBANO FRANCO,PSDB,SE
4,130890,42,ALBANYR LEAL,PSD,AC
4,74440,49,ALBÉRICO CORDEIRO,PFL,AL
4,74440,50,ALBÉRICO CORDEIRO,PTB,AL
4,74440,47,ALBÉRICO CORDEIRO,PDS,AL
4,74440,46,ALBÉRICO CORDEIRO,ARENA,AL
4,74440,51,ALBÉRICO CORDEIRO,PTB,AL
4,74440,48,ALBÉRICO CORDEIRO,PFL,AL
5,2589,33,ALBÉRICO DE MORAIS,NA,DF
5,2589,34,ALBÉRICO DE MORAIS,NA,DF
5,74018,52,ALBÉRICO FILHO,PMDB,MA
5,74018,51,ALBÉRICO FILHO,PMDB,MA
5,74018,53,ALBÉRICO FILHO,PMDB,MA
5,74018,50,ALBÉRICO FILHO,PMDB,MA
5,74018,48,ALBÉRICO FILHO,PDC,MA
5,74018,49,ALBÉRICO FILHO,PMDB,MA
5,130295,38,ALBÉRICO FRAGA,UDN,BA
5,2466,33,ALBERTINO DRUMOND,NA,MG
5,2466,34,ALBERTINO DRUMOND,NA,MG
5,2466,31,ALBERTINO DRUMOND,NA,MG
5,3123,42,ALBERTO ABOUD,ARENA,MA
5,3123,43,ALBERTO ABOUD,ARENA,MA
5,130510,40,ALBERTO ANDALÓ,PTN,SP
5,1209,26,ALBERTO BEZAMAT,NA,RJ
5,130386,39,ALBERTO BOTTINO,PTB,SP
5,131389,44,ALBERTO COSTA,ARENA,PR
5,131389,43,ALBERTO COSTA,ARENA,PR
5,4105,30,ALBERTO DE ABREU,NA,PR
5,130387,39,ALBERTO DEODATO,UDN,MG
5,4658,36,ALBERTO DINIZ,PPA,AC
5,4658,37,ALBERTO DINIZ,PPA,AC
5,160582,54,ALBERTO FILHO,PMDB,MA
5,160582,55,ALBERTO FILHO,PP,MA
5,73579,53,ALBERTO FRAGA,DEM,DF
5,73579,51,ALBERTO FRAGA,PMDB,DF
5,73579,52,ALBERTO FRAGA,PFL,DF
5,73579,55,ALBERTO FRAGA,DEM,DF
5,73427,49,ALBERTO GOLDMAN,PMDB,SP
5,73427,47,ALBERTO GOLDMAN,PMDB,SP
5,73427,51,ALBERTO GOLDMAN,PSDB,SP
5,73427,52,ALBERTO GOLDMAN,PSDB,SP
5,73427,50,ALBERTO GOLDMAN,PMDB,SP
5,73427,46,ALBERTO GOLDMAN,MDB*,SP
5,73695,49,ALBERTO HADDAD,PP**,SP
5,131637,43,ALBERTO HOFFMANN,ARENA,RS
5,131637,46,ALBERTO HOFFMANN,PDS,RS
5,131637,41,ALBERTO HOFFMANN,PRP,RS
5,131637,45,ALBERTO HOFFMANN,ARENA,RS
5,131637,44,ALBERTO HOFFMANN,ARENA,RS
5,131501,44,ALBERTO LAVINAS,MDB*,RJ
5,131501,45,ALBERTO LAVINAS,MDB*,RJ
5,130891,42,ALBERTO LUZ,PTB,PI
5,2159,30,ALBERTO MARANHÃO,NA,RN
5,2159,31,ALBERTO MARANHÃO,NA,RN
5,2159,26,ALBERTO MARANHÃO,NA,RN
5,2159,33,ALBERTO MARANHÃO,NA,RN
5,2159,34,ALBERTO MARANHÃO,NA,RN
5,2159,29,ALBERTO MARANHÃO,NA,RN
5,2159,32,ALBERTO MARANHÃO,NA,RN
5,2159,27,ALBERTO MARANHÃO,NA,RN
5,74696,54,ALBERTO MOURÃO,PSDB,SP
5,74696,51,ALBERTO MOURÃO,PMDB,SP
5,4660,37,ALBERTO ROSELLI,NA,RN
5,4660,36,ALBERTO ROSELLI,NA,RN
5,4305,28,ALBERTO SARMENTO,NA,SP
5,4305,30,ALBERTO SARMENTO,NA,SP
5,4305,31,ALBERTO SARMENTO,NA,SP
5,4305,33,ALBERTO SARMENTO,NA,SP
5,4305,27,ALBERTO SARMENTO,NA,SP
5,4305,32,ALBERTO SARMENTO,NA,SP
5,4305,29,ALBERTO SARMENTO,NA,SP
5,74310,53,ALBERTO SILVA,PMDB,PI
5,74310,50,ALBERTO SILVA,PMDB,PI
5,130243,37,ALBERTO SUREK,NA,MG
5,130243,36,ALBERTO SUREK,NA,MG
5,130511,40,ALBERTO TORRES,UDN,RJ
5,131836,47,ALBINO COIMBRA,PDS,MS
5,131502,43,ALBINO ZENI,ARENA,SC
5,131502,44,ALBINO ZENI,ARENA,SC
5,131502,45,ALBINO ZENI,ARENA,SC
5,131502,42,ALBINO ZENI,ARENA,SC
5,2543,33,ALBUQUERQUE LIBÓRIO,NA,BA
5,130118,29,ALBUQUERQUE LINS,PNI,AL
5,2485,31,ALBUQUERQUE MARANHÃO,NA,PE
5,1942,24,ALBUQUERQUE SEREJO,NA,AM
5,1942,25,ALBUQUERQUE SEREJO,NA,AM
5,4596,36,ALCÂNTARA MACHADO,PC,SP
5,131739,46,ALCEBÍADES DE OLIVEIRA,PDS,RS
5,130296,38,ALCEDO COUTINHO,PCB*,PE
5,139133,53,ALCENI GUERRA,DEM,PR
5,139133,48,ALCENI GUERRA,PFL,PR
5,139133,47,ALCENI GUERRA,PDS,PR
5,73979,51,ALCESTE ALMEIDA,PL*,RR
5,73979,52,ALCESTE ALMEIDA,PTB,RR
5,73979,49,ALCESTE ALMEIDA,PTB,RR
5,73979,50,ALCESTE ALMEIDA,PMDB,RR
5,73477,52,ALCEU COLLARES,PDT,RS
5,73477,46,ALCEU COLLARES,MDB*,RS
5,73477,51,ALCEU COLLARES,PDT,RS
5,73477,44,ALCEU COLLARES,MDB*,RS
5,73477,45,ALCEU COLLARES,MDB*,RS
5,131155,42,ALCEU DE CARVALHO,PR,SP
5,131155,43,ALCEU DE CARVALHO,MDB*,SP
5,160559,55,ALCEU MOREIRA,MDB,RS
5,160559,56,ALCEU MOREIRA,MDB,RS
5,160559,54,ALCEU MOREIRA,PMDB,RS
5,4306,33,ALCIDES BAHIA,NA,AM
5,130392,39,ALCIDES BARCELOS,PTB,PR
6,130706,39,ALCIDES CARNEIRO,PSD,PB
6,130706,41,ALCIDES CARNEIRO,PSD,PB
6,131837,46,ALCIDES FRANCISCATO,PDS,SP
6,131837,45,ALCIDES FRANCISCATO,ARENA,SP
6,131837,47,ALCIDES FRANCISCATO,PDS,SP
6,130394,39,ALCIDES LAGE,PTB,MG
6,1524,48,ALCIDES LIMA,PFL,RR
6,1524,47,ALCIDES LIMA,PDS,RR
6,4237,31,ALCIDES MAIA,NA,RS
6,4237,32,ALCIDES MAIA,NA,RS
6,74532,50,ALCIDES MODESTO,PT,BA
6,74532,49,ALCIDES MODESTO,PT,BA
6,204413,56,ALCIDES RODRIGUES,PATRIOTA,GO
6,130301,38,ALCIDES SABENÇA,PCB*,RJ
6,139134,48,ALCIDES SALDANHA,PMDB,RS
6,130393,39,ALCIDES VIDIGAL,PSD,SP
6,1761,27,ALCINDO GUANABARA,NA,DF
6,1761,28,ALCINDO GUANABARA,NA,DF
6,1761,24,ALCINDO GUANABARA,NA,RJ
6,74014,51,ALCIONE ATHAYDE,PSB,RJ
6,74014,50,ALCIONE ATHAYDE,PP**,RJ
6,131638,45,ALCIR PIMENTA,MDB*,RJ
